"Genotype" "Female" "Male" "Type" "Yield"
"326" "F014M006" "F014" "M006" "Hybrid" 11.062
"327" "F014M007" "F014" "M007" "Hybrid" 11.077
"328" "F014M008" "F014" "M008" "Hybrid" 11.047
"329" "F014M009" "F014" "M009" "Hybrid" 11.062
"330" "F014M010" "F014" "M010" "Hybrid" 10.769
"331" "F014M011" "F014" "M011" "Hybrid" 10.794
"332" "F014M012" "F014" "M012" "Hybrid" 10.614
"333" "F014M013" "F014" "M013" "Hybrid" 10.751
"334" "F014M014" "F014" "M014" "Hybrid" 11.171
"335" "F014M015" "F014" "M015" "Hybrid" 11.069
"336" "F015M001" "F015" "M001" "Hybrid" 10.566
"337" "F015M002" "F015" "M002" "Hybrid" 10.396
"338" "F015M003" "F015" "M003" "Hybrid" 10.544
"339" "F015M005" "F015" "M005" "Hybrid" 10.71
"340" "F015M006" "F015" "M006" "Hybrid" 10.944
"341" "F015M007" "F015" "M007" "Hybrid" 10.433
"342" "F015M008" "F015" "M008" "Hybrid" 10.655
"343" "F015M009" "F015" "M009" "Hybrid" 10.673
"344" "F015M010" "F015" "M010" "Hybrid" 10.397
"345" "F015M011" "F015" "M011" "Hybrid" 10.43
"346" "F015M013" "F015" "M013" "Hybrid" 10.682
"347" "F015M014" "F015" "M014" "Hybrid" 10.712
"348" "F015M015" "F015" "M015" "Hybrid" 10.452
"349" "F016M001" "F016" "M001" "Hybrid" 10.512
"350" "F016M002" "F016" "M002" "Hybrid" 11.005
"351" "F016M003" "F016" "M003" "Hybrid" 10.591
"352" "F016M005" "F016" "M005" "Hybrid" 11.005
"353" "F016M006" "F016" "M006" "Hybrid" 11.238
"354" "F016M007" "F016" "M007" "Hybrid" 10.687
"355" "F016M008" "F016" "M008" "Hybrid" 10.897
"356" "F016M009" "F016" "M009" "Hybrid" 11.098
"357" "F016M010" "F016" "M010" "Hybrid" 10.442
"358" "F016M012" "F016" "M012" "Hybrid" 10.56
"359" "F016M013" "F016" "M013" "Hybrid" 11.062
"360" "F016M014" "F016" "M014" "Hybrid" 10.467
"361" "F016M015" "F016" "M015" "Hybrid" 10.827
"362" "F017M001" "F017" "M001" "Hybrid" 10.539
"363" "F017M002" "F017" "M002" "Hybrid" 10.366
"364" "F017M003" "F017" "M003" "Hybrid" 10.572
"365" "F017M004" "F017" "M004" "Hybrid" 10.554
"366" "F017M005" "F017" "M005" "Hybrid" 10.934
"367" "F017M006" "F017" "M006" "Hybrid" 11.135
"368" "F017M007" "F017" "M007" "Hybrid" 10.449
"369" "F017M008" "F017" "M008" "Hybrid" 10.485
"370" "F017M009" "F017" "M009" "Hybrid" 10.79
"371" "F017M010" "F017" "M010" "Hybrid" 10.29
"372" "F017M012" "F017" "M012" "Hybrid" 10.494
"373" "F017M013" "F017" "M013" "Hybrid" 10.937
"374" "F017M014" "F017" "M014" "Hybrid" 10.714
"375" "F017M015" "F017" "M015" "Hybrid" 10.231
"376" "F018M001" "F018" "M001" "Hybrid" 10.335
"377" "F018M003" "F018" "M003" "Hybrid" 10.57
"378" "F018M006" "F018" "M006" "Hybrid" 11.042
"379" "F018M007" "F018" "M007" "Hybrid" 10.494
"380" "F018M009" "F018" "M009" "Hybrid" 10.476
"381" "F018M010" "F018" "M010" "Hybrid" 10.389
"382" "F018M013" "F018" "M013" "Hybrid" 10.681
"383" "F018M014" "F018" "M014" "Hybrid" 10.393
"384" "F018M015" "F018" "M015" "Hybrid" 10.353
"385" "F019M001" "F019" "M001" "Hybrid" 9.942
"386" "F019M003" "F019" "M003" "Hybrid" 9.747
"387" "F019M005" "F019" "M005" "Hybrid" 10.237
"388" "F019M009" "F019" "M009" "Hybrid" 10.266
"389" "F019M010" "F019" "M010" "Hybrid" 9.603
"390" "F019M013" "F019" "M013" "Hybrid" 10.427
"391" "F019M014" "F019" "M014" "Hybrid" 9.982
"392" "F019M015" "F019" "M015" "Hybrid" 10.248
"393" "F020M001" "F020" "M001" "Hybrid" 10.932
"394" "F020M002" "F020" "M002" "Hybrid" 11.057
"395" "F020M003" "F020" "M003" "Hybrid" 10.794
"396" "F020M004" "F020" "M004" "Hybrid" 10.746
"397" "F020M005" "F020" "M005" "Hybrid" 10.839
"398" "F020M006" "F020" "M006" "Hybrid" 11.345
"399" "F020M008" "F020" "M008" "Hybrid" 11.178
"400" "F020M009" "F020" "M009" "Hybrid" 11.053
"401" "F020M010" "F020" "M010" "Hybrid" 11.236
"402" "F020M011" "F020" "M011" "Hybrid" 10.847
"403" "F020M013" "F020" "M013" "Hybrid" 10.968
"404" "F020M014" "F020" "M014" "Hybrid" 11.091
"405" "F020M015" "F020" "M015" "Hybrid" 11.2
"406" "F021M001" "F021" "M001" "Hybrid" 10.479
"407" "F021M002" "F021" "M002" "Hybrid" 10.509
"408" "F021M003" "F021" "M003" "Hybrid" 10.471
"409" "F021M005" "F021" "M005" "Hybrid" 10.572
"410" "F021M006" "F021" "M006" "Hybrid" 10.472
"411" "F021M007" "F021" "M007" "Hybrid" 10.493
"412" "F021M008" "F021" "M008" "Hybrid" 10.645
"413" "F021M009" "F021" "M009" "Hybrid" 10.643
"414" "F021M010" "F021" "M010" "Hybrid" 10.301
"415" "F021M011" "F021" "M011" "Hybrid" 10.384
"416" "F021M012" "F021" "M012" "Hybrid" 10.589
"417" "F021M013" "F021" "M013" "Hybrid" 10.9
"418" "F021M014" "F021" "M014" "Hybrid" 10.52
"419" "F021M015" "F021" "M015" "Hybrid" 10.393
"420" "F022M001" "F022" "M001" "Hybrid" 11.233
"421" "F022M002" "F022" "M002" "Hybrid" 10.974
"422" "F022M003" "F022" "M003" "Hybrid" 10.212
"423" "F022M004" "F022" "M004" "Hybrid" 10.439
"424" "F022M005" "F022" "M005" "Hybrid" 11.061
"425" "F022M006" "F022" "M006" "Hybrid" 11.314
"426" "F022M007" "F022" "M007" "Hybrid" 11.369
"427" "F022M008" "F022" "M008" "Hybrid" 10.996
"428" "F022M009" "F022" "M009" "Hybrid" 11.196
"429" "F022M010" "F022" "M010" "Hybrid" 10.741
"430" "F022M012" "F022" "M012" "Hybrid" 10.852
