"Genotype" "Female" "Male" "Type" "Yield"
"977" "F061M012" "F061" "M012" "Hybrid" 10.394
"978" "F061M013" "F061" "M013" "Hybrid" 11.026
"979" "F061M014" "F061" "M014" "Hybrid" 10.848
"980" "F061M015" "F061" "M015" "Hybrid" 10.973
"981" "F062M001" "F062" "M001" "Hybrid" 10.953
"982" "F062M003" "F062" "M003" "Hybrid" 10.681
"983" "F062M005" "F062" "M005" "Hybrid" 11
"984" "F062M006" "F062" "M006" "Hybrid" 11.259
"985" "F062M007" "F062" "M007" "Hybrid" 10.461
"986" "F062M008" "F062" "M008" "Hybrid" 10.712
"987" "F062M009" "F062" "M009" "Hybrid" 10.859
"988" "F062M012" "F062" "M012" "Hybrid" 10.63
"989" "F062M013" "F062" "M013" "Hybrid" 11.269
"990" "F062M014" "F062" "M014" "Hybrid" 10.955
"991" "F062M015" "F062" "M015" "Hybrid" 11.084
"992" "F063M001" "F063" "M001" "Hybrid" 9.898
"993" "F063M003" "F063" "M003" "Hybrid" 10.104
"994" "F063M004" "F063" "M004" "Hybrid" 9.936
"995" "F063M005" "F063" "M005" "Hybrid" 10.587
"996" "F063M006" "F063" "M006" "Hybrid" 10.688
"997" "F063M007" "F063" "M007" "Hybrid" 10.668
"998" "F063M008" "F063" "M008" "Hybrid" 10.257
"999" "F063M009" "F063" "M009" "Hybrid" 10.969
"1000" "F063M010" "F063" "M010" "Hybrid" 10.443
"1001" "F063M011" "F063" "M011" "Hybrid" 10.339
"1002" "F063M012" "F063" "M012" "Hybrid" 10.133
"1003" "F063M013" "F063" "M013" "Hybrid" 11.079
"1004" "F063M014" "F063" "M014" "Hybrid" 10.413
"1005" "F063M015" "F063" "M015" "Hybrid" 10.545
"1006" "F064M001" "F064" "M001" "Hybrid" 10.676
"1007" "F064M002" "F064" "M002" "Hybrid" 10.347
"1008" "F064M003" "F064" "M003" "Hybrid" 10.597
"1009" "F064M004" "F064" "M004" "Hybrid" 10.598
"1010" "F064M005" "F064" "M005" "Hybrid" 11.046
"1011" "F064M006" "F064" "M006" "Hybrid" 11.125
"1012" "F064M007" "F064" "M007" "Hybrid" 10.834
"1013" "F064M008" "F064" "M008" "Hybrid" 10.656
"1014" "F064M009" "F064" "M009" "Hybrid" 11.246
"1015" "F064M010" "F064" "M010" "Hybrid" 10.978
"1016" "F064M011" "F064" "M011" "Hybrid" 10.531
"1017" "F064M012" "F064" "M012" "Hybrid" 10.497
"1018" "F064M013" "F064" "M013" "Hybrid" 10.775
"1019" "F064M014" "F064" "M014" "Hybrid" 10.99
"1020" "F064M015" "F064" "M015" "Hybrid" 10.796
"1021" "F065M001" "F065" "M001" "Hybrid" 11.01
"1022" "F065M003" "F065" "M003" "Hybrid" 10.848
"1023" "F065M004" "F065" "M004" "Hybrid" 10.466
"1024" "F065M006" "F065" "M006" "Hybrid" 11.433
"1025" "F065M008" "F065" "M008" "Hybrid" 10.826
"1026" "F065M009" "F065" "M009" "Hybrid" 10.969
"1027" "F065M010" "F065" "M010" "Hybrid" 10.907
"1028" "F065M011" "F065" "M011" "Hybrid" 11.083
"1029" "F065M013" "F065" "M013" "Hybrid" 10.65
"1030" "F065M014" "F065" "M014" "Hybrid" 10.863
"1031" "F065M015" "F065" "M015" "Hybrid" 11.214
"1032" "F066M001" "F066" "M001" "Hybrid" 10.811
"1033" "F066M002" "F066" "M002" "Hybrid" 10.686
"1034" "F066M003" "F066" "M003" "Hybrid" 10.73
"1035" "F066M004" "F066" "M004" "Hybrid" 10.719
"1036" "F066M005" "F066" "M005" "Hybrid" 11.007
"1037" "F066M006" "F066" "M006" "Hybrid" 10.872
"1038" "F066M007" "F066" "M007" "Hybrid" 10.857
"1039" "F066M008" "F066" "M008" "Hybrid" 10.747
"1040" "F066M009" "F066" "M009" "Hybrid" 10.789
"1041" "F066M010" "F066" "M010" "Hybrid" 11.069
"1042" "F066M011" "F066" "M011" "Hybrid" 10.917
"1043" "F066M012" "F066" "M012" "Hybrid" 10.532
"1044" "F066M013" "F066" "M013" "Hybrid" 10.706
"1045" "F066M014" "F066" "M014" "Hybrid" 11.07
"1046" "F066M015" "F066" "M015" "Hybrid" 10.417
"1047" "F067M001" "F067" "M001" "Hybrid" 10.867
"1048" "F067M002" "F067" "M002" "Hybrid" 10.43
"1049" "F067M003" "F067" "M003" "Hybrid" 11.104
"1050" "F067M004" "F067" "M004" "Hybrid" 10.671
"1051" "F067M005" "F067" "M005" "Hybrid" 11.254
"1052" "F067M006" "F067" "M006" "Hybrid" 10.993
"1053" "F067M007" "F067" "M007" "Hybrid" 11.05
"1054" "F067M008" "F067" "M008" "Hybrid" 10.611
"1055" "F067M009" "F067" "M009" "Hybrid" 11.533
"1056" "F067M010" "F067" "M010" "Hybrid" 10.716
"1057" "F067M011" "F067" "M011" "Hybrid" 10.862
"1058" "F067M012" "F067" "M012" "Hybrid" 10.516
"1059" "F067M013" "F067" "M013" "Hybrid" 10.871
"1060" "F067M014" "F067" "M014" "Hybrid" 11.034
"1061" "F067M015" "F067" "M015" "Hybrid" 10.975
"1062" "F068M001" "F068" "M001" "Hybrid" 10.221
"1063" "F068M003" "F068" "M003" "Hybrid" 10.586
"1064" "F068M004" "F068" "M004" "Hybrid" 10.359
"1065" "F068M005" "F068" "M005" "Hybrid" 10.818
"1066" "F068M006" "F068" "M006" "Hybrid" 10.813
"1067" "F068M008" "F068" "M008" "Hybrid" 10.919
"1068" "F068M009" "F068" "M009" "Hybrid" 10.935
"1069" "F068M010" "F068" "M010" "Hybrid" 11.001
"1070" "F068M011" "F068" "M011" "Hybrid" 10.629
"1071" "F068M012" "F068" "M012" "Hybrid" 10.488
"1072" "F068M013" "F068" "M013" "Hybrid" 10.822
"1073" "F068M014" "F068" "M014" "Hybrid" 11.114
"1074" "F068M015" "F068" "M015" "Hybrid" 10.636
"1075" "F069M001" "F069" "M001" "Hybrid" 10.795
"1076" "F069M002" "F069" "M002" "Hybrid" 10.411
"1077" "F069M003" "F069" "M003" "Hybrid" 10.196
"1078" "F069M004" "F069" "M004" "Hybrid" 10.489
"1079" "F069M005" "F069" "M005" "Hybrid" 10.827
"1080" "F069M006" "F069" "M006" "Hybrid" 10.982
"1081" "F069M007" "F069" "M007" "Hybrid" 10.501
"1082" "F069M008" "F069" "M008" "Hybrid" 10.482
"1083" "F069M009" "F069" "M009" "Hybrid" 10.944
"1084" "F069M010" "F069" "M010" "Hybrid" 10.278
"1085" "F069M011" "F069" "M011" "Hybrid" 10.65
"1086" "F069M012" "F069" "M012" "Hybrid" 10.107
"1087" "F069M013" "F069" "M013" "Hybrid" 10.438
"1088" "F069M014" "F069" "M014" "Hybrid" 10.247
"1089" "F069M015" "F069" "M015" "Hybrid" 10.521
"1090" "F070M001" "F070" "M001" "Hybrid" 10.594
"1091" "F070M003" "F070" "M003" "Hybrid" 10.534
"1092" "F070M004" "F070" "M004" "Hybrid" 10.558
"1093" "F070M005" "F070" "M005" "Hybrid" 10.802
"1094" "F070M006" "F070" "M006" "Hybrid" 10.871
"1095" "F070M007" "F070" "M007" "Hybrid" 10.705
"1096" "F070M008" "F070" "M008" "Hybrid" 10.632
"1097" "F070M009" "F070" "M009" "Hybrid" 11.218
"1098" "F070M010" "F070" "M010" "Hybrid" 10.58
"1099" "F070M011" "F070" "M011" "Hybrid" 10.59
"1100" "F070M013" "F070" "M013" "Hybrid" 10.734
"1101" "F070M014" "F070" "M014" "Hybrid" 11.03
"1102" "F070M015" "F070" "M015" "Hybrid" 10.66
"1103" "F071M001" "F071" "M001" "Hybrid" 10.67
"1104" "F071M002" "F071" "M002" "Hybrid" 10.494
"1105" "F071M003" "F071" "M003" "Hybrid" 10.808
"1106" "F071M004" "F071" "M004" "Hybrid" 10.742
"1107" "F071M005" "F071" "M005" "Hybrid" 10.907
"1108" "F071M006" "F071" "M006" "Hybrid" 11.22
"1109" "F071M007" "F071" "M007" "Hybrid" 10.806
"1110" "F071M008" "F071" "M008" "Hybrid" 10.883
"1111" "F071M009" "F071" "M009" "Hybrid" 11.042
"1112" "F071M010" "F071" "M010" "Hybrid" 10.607
"1113" "F071M011" "F071" "M011" "Hybrid" 10.821
"1114" "F071M012" "F071" "M012" "Hybrid" 10.95
"1115" "F071M013" "F071" "M013" "Hybrid" 11.023
"1116" "F071M014" "F071" "M014" "Hybrid" 11.16
"1117" "F071M015" "F071" "M015" "Hybrid" 11.016
"1118" "F072M001" "F072" "M001" "Hybrid" 10.28
"1119" "F072M002" "F072" "M002" "Hybrid" 10.315
"1120" "F072M003" "F072" "M003" "Hybrid" 10.64
"1121" "F072M004" "F072" "M004" "Hybrid" 10.44
"1122" "F072M005" "F072" "M005" "Hybrid" 10.417
"1123" "F072M006" "F072" "M006" "Hybrid" 10.814
"1124" "F072M007" "F072" "M007" "Hybrid" 10.741
"1125" "F072M008" "F072" "M008" "Hybrid" 10.478
"1126" "F072M009" "F072" "M009" "Hybrid" 10.783
"1127" "F072M010" "F072" "M010" "Hybrid" 10.642
"1128" "F072M011" "F072" "M011" "Hybrid" 10.383
"1129" "F072M012" "F072" "M012" "Hybrid" 10.448
"1130" "F072M013" "F072" "M013" "Hybrid" 10.328
"1131" "F072M014" "F072" "M014" "Hybrid" 10.793
"1132" "F072M015" "F072" "M015" "Hybrid" 10.849
"1133" "F073M001" "F073" "M001" "Hybrid" 10.598
"1134" "F073M002" "F073" "M002" "Hybrid" 10.563
"1135" "F073M003" "F073" "M003" "Hybrid" 10.475
"1136" "F073M004" "F073" "M004" "Hybrid" 10.312
"1137" "F073M005" "F073" "M005" "Hybrid" 10.828
"1138" "F073M006" "F073" "M006" "Hybrid" 10.643
"1139" "F073M007" "F073" "M007" "Hybrid" 10.728
"1140" "F073M008" "F073" "M008" "Hybrid" 10.773
"1141" "F073M009" "F073" "M009" "Hybrid" 10.887
"1142" "F073M010" "F073" "M010" "Hybrid" 10.684
"1143" "F073M011" "F073" "M011" "Hybrid" 10.593
"1144" "F073M012" "F073" "M012" "Hybrid" 10.234
"1145" "F073M013" "F073" "M013" "Hybrid" 10.365
"1146" "F073M014" "F073" "M014" "Hybrid" 10.71
"1147" "F074M001" "F074" "M001" "Hybrid" 10.513
"1148" "F074M002" "F074" "M002" "Hybrid" 10.657
"1149" "F074M003" "F074" "M003" "Hybrid" 9.917
"1150" "F074M004" "F074" "M004" "Hybrid" 10.343
"1151" "F074M005" "F074" "M005" "Hybrid" 11.041
"1152" "F074M006" "F074" "M006" "Hybrid" 10.954
"1153" "F074M007" "F074" "M007" "Hybrid" 11.054
"1154" "F074M008" "F074" "M008" "Hybrid" 10.765
"1155" "F074M009" "F074" "M009" "Hybrid" 11.071
"1156" "F074M010" "F074" "M010" "Hybrid" 10.9
"1157" "F074M011" "F074" "M011" "Hybrid" 11.017
"1158" "F074M012" "F074" "M012" "Hybrid" 10.82
"1159" "F074M013" "F074" "M013" "Hybrid" 10.771
"1160" "F074M014" "F074" "M014" "Hybrid" 10.81
"1161" "F074M015" "F074" "M015" "Hybrid" 10.675
"1162" "F075M001" "F075" "M001" "Hybrid" 10.866
"1163" "F075M002" "F075" "M002" "Hybrid" 10.764
"1164" "F075M003" "F075" "M003" "Hybrid" 10.363
"1165" "F075M004" "F075" "M004" "Hybrid" 10.477
"1166" "F075M005" "F075" "M005" "Hybrid" 11.021
"1167" "F075M006" "F075" "M006" "Hybrid" 11.008
"1168" "F075M007" "F075" "M007" "Hybrid" 10.566
"1169" "F075M008" "F075" "M008" "Hybrid" 10.947
"1170" "F075M009" "F075" "M009" "Hybrid" 11.156
"1171" "F075M010" "F075" "M010" "Hybrid" 10.778
"1172" "F075M011" "F075" "M011" "Hybrid" 10.88
"1173" "F075M012" "F075" "M012" "Hybrid" 10.66
"1174" "F075M013" "F075" "M013" "Hybrid" 10.963
"1175" "F076M001" "F076" "M001" "Hybrid" 10.738
"1176" "F076M002" "F076" "M002" "Hybrid" 10.634
"1177" "F076M003" "F076" "M003" "Hybrid" 10.392
"1178" "F076M004" "F076" "M004" "Hybrid" 10.494
"1179" "F076M005" "F076" "M005" "Hybrid" 10.978
"1180" "F076M006" "F076" "M006" "Hybrid" 11.162
"1181" "F076M007" "F076" "M007" "Hybrid" 10.694
"1182" "F076M008" "F076" "M008" "Hybrid" 10.739
"1183" "F076M009" "F076" "M009" "Hybrid" 10.719
"1184" "F076M010" "F076" "M010" "Hybrid" 10.76
"1185" "F076M011" "F076" "M011" "Hybrid" 10.535
"1186" "F076M012" "F076" "M012" "Hybrid" 10.268
"1187" "F076M014" "F076" "M014" "Hybrid" 10.697
"1188" "F076M015" "F076" "M015" "Hybrid" 10.453
"1189" "F077M001" "F077" "M001" "Hybrid" 11.022
"1190" "F077M003" "F077" "M003" "Hybrid" 10.009
"1191" "F077M004" "F077" "M004" "Hybrid" 10.351
"1192" "F077M005" "F077" "M005" "Hybrid" 10.867
"1193" "F077M006" "F077" "M006" "Hybrid" 10.916
"1194" "F077M007" "F077" "M007" "Hybrid" 10.799
"1195" "F077M008" "F077" "M008" "Hybrid" 10.841
"1196" "F077M009" "F077" "M009" "Hybrid" 11.026
"1197" "F077M010" "F077" "M010" "Hybrid" 10.789
"1198" "F077M012" "F077" "M012" "Hybrid" 10.526
"1199" "F077M013" "F077" "M013" "Hybrid" 10.979
"1200" "F077M014" "F077" "M014" "Hybrid" 11.379
"1201" "F078M001" "F078" "M001" "Hybrid" 10.105
"1202" "F078M002" "F078" "M002" "Hybrid" 9.982
"1203" "F078M003" "F078" "M003" "Hybrid" 9.268
"1204" "F078M004" "F078" "M004" "Hybrid" 9.91
"1205" "F078M005" "F078" "M005" "Hybrid" 10.634
"1206" "F078M006" "F078" "M006" "Hybrid" 10.739
"1207" "F078M007" "F078" "M007" "Hybrid" 10.384
"1208" "F078M008" "F078" "M008" "Hybrid" 10.252
"1209" "F078M009" "F078" "M009" "Hybrid" 10.601
"1210" "F078M010" "F078" "M010" "Hybrid" 10.235
"1211" "F078M011" "F078" "M011" "Hybrid" 10.178
"1212" "F078M012" "F078" "M012" "Hybrid" 9.964
"1213" "F078M013" "F078" "M013" "Hybrid" 10.409
"1214" "F078M014" "F078" "M014" "Hybrid" 10.537
"1215" "F079M001" "F079" "M001" "Hybrid" 10.353
"1216" "F079M002" "F079" "M002" "Hybrid" 10.582
"1217" "F079M003" "F079" "M003" "Hybrid" 10.385
"1218" "F079M004" "F079" "M004" "Hybrid" 10.245
"1219" "F079M005" "F079" "M005" "Hybrid" 10.791
"1220" "F079M006" "F079" "M006" "Hybrid" 11.045
"1221" "F079M007" "F079" "M007" "Hybrid" 10.851
"1222" "F079M008" "F079" "M008" "Hybrid" 10.997
"1223" "F079M009" "F079" "M009" "Hybrid" 10.751
"1224" "F079M010" "F079" "M010" "Hybrid" 10.948
"1225" "F079M011" "F079" "M011" "Hybrid" 10.85
"1226" "F079M012" "F079" "M012" "Hybrid" 10.417
"1227" "F079M013" "F079" "M013" "Hybrid" 10.38
"1228" "F079M014" "F079" "M014" "Hybrid" 10.947
"1229" "F079M015" "F079" "M015" "Hybrid" 10.775
"1230" "F080M001" "F080" "M001" "Hybrid" 10.699
"1231" "F080M002" "F080" "M002" "Hybrid" 10.859
"1232" "F080M003" "F080" "M003" "Hybrid" 10.268
"1233" "F080M004" "F080" "M004" "Hybrid" 10.834
"1234" "F080M005" "F080" "M005" "Hybrid" 10.839
"1235" "F080M006" "F080" "M006" "Hybrid" 10.868
"1236" "F080M007" "F080" "M007" "Hybrid" 10.429
"1237" "F080M008" "F080" "M008" "Hybrid" 10.883
"1238" "F080M009" "F080" "M009" "Hybrid" 10.751
"1239" "F080M010" "F080" "M010" "Hybrid" 10.661
"1240" "F080M011" "F080" "M011" "Hybrid" 10.353
"1241" "F080M012" "F080" "M012" "Hybrid" 10.542
"1242" "F080M013" "F080" "M013" "Hybrid" 10.782
"1243" "F080M014" "F080" "M014" "Hybrid" 10.767
"1244" "F080M015" "F080" "M015" "Hybrid" 11.122
"1245" "F081M001" "F081" "M001" "Hybrid" 10.334
"1246" "F081M002" "F081" "M002" "Hybrid" 10.241
"1247" "F081M003" "F081" "M003" "Hybrid" 10.05
"1248" "F081M004" "F081" "M004" "Hybrid" 9.207
"1249" "F081M005" "F081" "M005" "Hybrid" 10.354
"1250" "F081M006" "F081" "M006" "Hybrid" 10.759
"1251" "F081M007" "F081" "M007" "Hybrid" 10.317
"1252" "F081M008" "F081" "M008" "Hybrid" 10.112
"1253" "F081M009" "F081" "M009" "Hybrid" 10.666
"1254" "F081M010" "F081" "M010" "Hybrid" 10.061
"1255" "F081M011" "F081" "M011" "Hybrid" 9.244
"1256" "F081M012" "F081" "M012" "Hybrid" 10.456
"1257" "F081M014" "F081" "M014" "Hybrid" 10.453
"1258" "F081M015" "F081" "M015" "Hybrid" 10.373
"1259" "F082M001" "F082" "M001" "Hybrid" 10.402
"1260" "F082M002" "F082" "M002" "Hybrid" 10.878
"1261" "F082M003" "F082" "M003" "Hybrid" 10.846
"1262" "F082M004" "F082" "M004" "Hybrid" 10.367
"1263" "F082M005" "F082" "M005" "Hybrid" 10.626
"1264" "F082M006" "F082" "M006" "Hybrid" 10.8
"1265" "F082M007" "F082" "M007" "Hybrid" 10.881
"1266" "F082M008" "F082" "M008" "Hybrid" 10.94
"1267" "F082M009" "F082" "M009" "Hybrid" 10.735
"1268" "F082M010" "F082" "M010" "Hybrid" 10.829
"1269" "F082M011" "F082" "M011" "Hybrid" 10.555
"1270" "F082M012" "F082" "M012" "Hybrid" 10.478
"1271" "F082M013" "F082" "M013" "Hybrid" 10.831
"1272" "F082M014" "F082" "M014" "Hybrid" 10.762
"1273" "F082M015" "F082" "M015" "Hybrid" 10.567
"1274" "F083M001" "F083" "M001" "Hybrid" 10.9
"1275" "F083M003" "F083" "M003" "Hybrid" 10.799
"1276" "F083M004" "F083" "M004" "Hybrid" 10.551
"1277" "F083M005" "F083" "M005" "Hybrid" 11.393
"1278" "F083M006" "F083" "M006" "Hybrid" 11.082
"1279" "F083M007" "F083" "M007" "Hybrid" 11.037
"1280" "F083M008" "F083" "M008" "Hybrid" 10.855
"1281" "F083M009" "F083" "M009" "Hybrid" 11.146
"1282" "F083M010" "F083" "M010" "Hybrid" 11.057
"1283" "F083M011" "F083" "M011" "Hybrid" 10.656
"1284" "F083M012" "F083" "M012" "Hybrid" 10.709
"1285" "F083M013" "F083" "M013" "Hybrid" 10.683
"1286" "F083M014" "F083" "M014" "Hybrid" 11.293
"1287" "F083M015" "F083" "M015" "Hybrid" 10.836
"1288" "F084M001" "F084" "M001" "Hybrid" 10.996
"1289" "F084M002" "F084" "M002" "Hybrid" 10.974
"1290" "F084M003" "F084" "M003" "Hybrid" 10.719
"1291" "F084M004" "F084" "M004" "Hybrid" 10.321
"1292" "F084M005" "F084" "M005" "Hybrid" 10.525
"1293" "F084M006" "F084" "M006" "Hybrid" 11.208
"1294" "F084M007" "F084" "M007" "Hybrid" 10.813
"1295" "F084M008" "F084" "M008" "Hybrid" 10.743
"1296" "F084M009" "F084" "M009" "Hybrid" 11.07
"1297" "F084M010" "F084" "M010" "Hybrid" 10.614
"1298" "F084M011" "F084" "M011" "Hybrid" 10.75
"1299" "F084M012" "F084" "M012" "Hybrid" 10.753
"1300" "F084M013" "F084" "M013" "Hybrid" 10.977
"1301" "F084M014" "F084" "M014" "Hybrid" 11.059
"1302" "F084M015" "F084" "M015" "Hybrid" 11.401
"1303" "F085M001" "F085" "M001" "Hybrid" 10.626
"1304" "F085M002" "F085" "M002" "Hybrid" 10.767
"1305" "F085M003" "F085" "M003" "Hybrid" 10.701
"1306" "F085M004" "F085" "M004" "Hybrid" 10.307
"1307" "F085M005" "F085" "M005" "Hybrid" 10.84
"1308" "F085M006" "F085" "M006" "Hybrid" 11.255
"1309" "F085M007" "F085" "M007" "Hybrid" 10.83
"1310" "F085M008" "F085" "M008" "Hybrid" 10.785
"1311" "F085M009" "F085" "M009" "Hybrid" 10.834
"1312" "F085M010" "F085" "M010" "Hybrid" 10.807
"1313" "F085M011" "F085" "M011" "Hybrid" 10.605
"1314" "F085M012" "F085" "M012" "Hybrid" 10.696
"1315" "F085M013" "F085" "M013" "Hybrid" 10.669
"1316" "F085M014" "F085" "M014" "Hybrid" 10.552
"1317" "F085M015" "F085" "M015" "Hybrid" 10.564
"1318" "F086M001" "F086" "M001" "Hybrid" 10.768
"1319" "F086M002" "F086" "M002" "Hybrid" 10.981
"1320" "F086M003" "F086" "M003" "Hybrid" 10.801
"1321" "F086M004" "F086" "M004" "Hybrid" 10.192
"1322" "F086M006" "F086" "M006" "Hybrid" 11.238
"1323" "F086M007" "F086" "M007" "Hybrid" 10.892
"1324" "F086M008" "F086" "M008" "Hybrid" 10.928
"1325" "F086M009" "F086" "M009" "Hybrid" 11.009
"1326" "F086M010" "F086" "M010" "Hybrid" 10.705
"1327" "F086M011" "F086" "M011" "Hybrid" 10.895
"1328" "F086M012" "F086" "M012" "Hybrid" 10.786
"1329" "F086M013" "F086" "M013" "Hybrid" 10.96
"1330" "F086M014" "F086" "M014" "Hybrid" 11.042
"1331" "F086M015" "F086" "M015" "Hybrid" 11.2
"1332" "F087M001" "F087" "M001" "Hybrid" 9.935
"1333" "F087M002" "F087" "M002" "Hybrid" 10.064
"1334" "F087M003" "F087" "M003" "Hybrid" 10.188
"1335" "F087M004" "F087" "M004" "Hybrid" 10.595
"1336" "F087M005" "F087" "M005" "Hybrid" 10.638
"1337" "F087M006" "F087" "M006" "Hybrid" 10.458
"1338" "F087M007" "F087" "M007" "Hybrid" 10.323
"1339" "F087M008" "F087" "M008" "Hybrid" 10.208
"1340" "F087M009" "F087" "M009" "Hybrid" 10.513
"1341" "F087M010" "F087" "M010" "Hybrid" 10.256
"1342" "F087M011" "F087" "M011" "Hybrid" 10.374
"1343" "F087M012" "F087" "M012" "Hybrid" 10.458
"1344" "F087M013" "F087" "M013" "Hybrid" 10.696
"1345" "F087M014" "F087" "M014" "Hybrid" 10.632
"1346" "F087M015" "F087" "M015" "Hybrid" 10.502
"1347" "F088M001" "F088" "M001" "Hybrid" 10.169
"1348" "F088M002" "F088" "M002" "Hybrid" 10.547
"1349" "F088M003" "F088" "M003" "Hybrid" 10.527
"1350" "F088M004" "F088" "M004" "Hybrid" 10.136
"1351" "F088M005" "F088" "M005" "Hybrid" 10.498
"1352" "F088M006" "F088" "M006" "Hybrid" 11.146
"1353" "F088M007" "F088" "M007" "Hybrid" 10.642
"1354" "F088M008" "F088" "M008" "Hybrid" 10.563
"1355" "F088M009" "F088" "M009" "Hybrid" 10.748
"1356" "F088M010" "F088" "M010" "Hybrid" 10.652
"1357" "F088M011" "F088" "M011" "Hybrid" 10.226
"1358" "F088M012" "F088" "M012" "Hybrid" 10.715
"1359" "F088M013" "F088" "M013" "Hybrid" 11.023
"1360" "F088M014" "F088" "M014" "Hybrid" 10.789
"1361" "F088M015" "F088" "M015" "Hybrid" 10.734
"1362" "F089M001" "F089" "M001" "Hybrid" 10.739
"1363" "F089M003" "F089" "M003" "Hybrid" 10.273
"1364" "F089M004" "F089" "M004" "Hybrid" 10.478
"1365" "F089M008" "F089" "M008" "Hybrid" 10.916
"1366" "F089M012" "F089" "M012" "Hybrid" 10.547
"1367" "F089M013" "F089" "M013" "Hybrid" 11.124
"1368" "F089M014" "F089" "M014" "Hybrid" 11.038
"1369" "F089M015" "F089" "M015" "Hybrid" 10.862
"1370" "F090M001" "F090" "M001" "Hybrid" 10.946
"1371" "F090M002" "F090" "M002" "Hybrid" 11.21
"1372" "F090M003" "F090" "M003" "Hybrid" 11.172
"1373" "F090M005" "F090" "M005" "Hybrid" 11.101
"1374" "F090M006" "F090" "M006" "Hybrid" 11.308
"1375" "F090M007" "F090" "M007" "Hybrid" 10.583
"1376" "F090M008" "F090" "M008" "Hybrid" 10.951
"1377" "F090M009" "F090" "M009" "Hybrid" 11.332
"1378" "F090M010" "F090" "M010" "Hybrid" 10.898
"1379" "F090M012" "F090" "M012" "Hybrid" 10.793
"1380" "F090M013" "F090" "M013" "Hybrid" 11.093
"1381" "F090M014" "F090" "M014" "Hybrid" 10.955
"1382" "F090M015" "F090" "M015" "Hybrid" 10.868
"1383" "F091M001" "F091" "M001" "Hybrid" 10.635
"1384" "F091M002" "F091" "M002" "Hybrid" 10.635
"1385" "F091M003" "F091" "M003" "Hybrid" 10.87
"1386" "F091M004" "F091" "M004" "Hybrid" 10.498
"1387" "F091M006" "F091" "M006" "Hybrid" 10.868
"1388" "F091M007" "F091" "M007" "Hybrid" 10.686
"1389" "F091M008" "F091" "M008" "Hybrid" 10.732
"1390" "F091M009" "F091" "M009" "Hybrid" 11.02
"1391" "F091M010" "F091" "M010" "Hybrid" 10.867
"1392" "F091M011" "F091" "M011" "Hybrid" 10.686
"1393" "F091M013" "F091" "M013" "Hybrid" 11.112
"1394" "F091M014" "F091" "M014" "Hybrid" 11.253
"1395" "F091M015" "F091" "M015" "Hybrid" 10.798
"1396" "F092M007" "F092" "M007" "Hybrid" 10.499
"1397" "F092M013" "F092" "M013" "Hybrid" 10.141
"1398" "F092M014" "F092" "M014" "Hybrid" 10.626
"1399" "F092M015" "F092" "M015" "Hybrid" 10.832
"1400" "F093M001" "F093" "M001" "Hybrid" 10.588
"1401" "F093M002" "F093" "M002" "Hybrid" 10.052
"1402" "F093M003" "F093" "M003" "Hybrid" 10.322
"1403" "F093M004" "F093" "M004" "Hybrid" 10.218
"1404" "F093M005" "F093" "M005" "Hybrid" 10.541
"1405" "F093M006" "F093" "M006" "Hybrid" 11.047
"1406" "F093M007" "F093" "M007" "Hybrid" 10.283
"1407" "F093M008" "F093" "M008" "Hybrid" 10.581
"1408" "F093M009" "F093" "M009" "Hybrid" 10.807
"1409" "F093M010" "F093" "M010" "Hybrid" 10.441
"1410" "F093M011" "F093" "M011" "Hybrid" 10.139
"1411" "F093M012" "F093" "M012" "Hybrid" 10.447
"1412" "F093M013" "F093" "M013" "Hybrid" 11.018
"1413" "F093M014" "F093" "M014" "Hybrid" 11.048
"1414" "F093M015" "F093" "M015" "Hybrid" 10.965
"1415" "F094M001" "F094" "M001" "Hybrid" 10.436
"1416" "F094M003" "F094" "M003" "Hybrid" 10.58
"1417" "F094M004" "F094" "M004" "Hybrid" 10.361
"1418" "F094M005" "F094" "M005" "Hybrid" 10.708
"1419" "F094M006" "F094" "M006" "Hybrid" 11.194
"1420" "F094M007" "F094" "M007" "Hybrid" 10.313
"1421" "F094M008" "F094" "M008" "Hybrid" 10.607
"1422" "F094M009" "F094" "M009" "Hybrid" 10.689
"1423" "F094M010" "F094" "M010" "Hybrid" 10.767
"1424" "F094M011" "F094" "M011" "Hybrid" 10.54
"1425" "F094M012" "F094" "M012" "Hybrid" 10.796
"1426" "F094M013" "F094" "M013" "Hybrid" 10.762
"1427" "F094M014" "F094" "M014" "Hybrid" 10.517
"1428" "F094M015" "F094" "M015" "Hybrid" 10.739
"1429" "F095M001" "F095" "M001" "Hybrid" 10.604
"1430" "F095M002" "F095" "M002" "Hybrid" 10.947
"1431" "F095M003" "F095" "M003" "Hybrid" 10.457
"1432" "F095M004" "F095" "M004" "Hybrid" 10.305
"1433" "F095M005" "F095" "M005" "Hybrid" 11.229
"1434" "F095M006" "F095" "M006" "Hybrid" 10.895
"1435" "F095M007" "F095" "M007" "Hybrid" 10.748
"1436" "F095M008" "F095" "M008" "Hybrid" 11.042
"1437" "F095M009" "F095" "M009" "Hybrid" 10.776
"1438" "F095M010" "F095" "M010" "Hybrid" 10.768
"1439" "F095M011" "F095" "M011" "Hybrid" 10.539
"1440" "F095M012" "F095" "M012" "Hybrid" 10.45
"1441" "F095M013" "F095" "M013" "Hybrid" 10.799
"1442" "F095M014" "F095" "M014" "Hybrid" 11.105
