"Blues" "Female" "Male" "Geno" "Hybrid" "Lines" "Exp.I" "Exp.II" "Exp.III" "Exp.IV" "Exp.V"
"125" 8.882233068 "apache" "tri8453iso" "apache&&tri8453iso" 1 0 0 0 0 0 1
"126" 8.480070105 "apache" "tri9361" "apache&&tri9361" 1 0 0 0 0 0 1
"127" 8.407609368 "apache" "tri9368" "apache&&tri9368" 1 0 0 0 0 0 1
"128" 8.455270245 "apache" "tri9377" "apache&&tri9377" 1 0 0 0 0 0 1
"130" 8.218389505 "apache" "tri9409" "apache&&tri9409" 1 0 0 0 0 0 1
"131" 8.872188506 "apache" "tri9413" "apache&&tri9413" 1 0 0 0 0 0 1
"132" 8.778750357 "apache" "tri9519iso" "apache&&tri9519iso" 1 0 0 0 0 0 1
"133" 9.010744939 "apache" "tri9523iso" "apache&&tri9523iso" 1 0 0 0 0 0 1
"134" 7.967650667 "apache" "tri9798" "apache&&tri9798" 1 0 0 0 0 0 1
"135" 8.625020593 "apache" "tri9843iso" "apache&&tri9843iso" 1 0 0 0 0 0 1
"136" 9.383155297 "apian" "apian" "apian" 0 1 0 0 0 0 1
"137" 9.546916159 "apian" "tri5082" "apian&&tri5082" 1 0 0 0 0 0 1
"139" 8.536863198 "arezzo" "albatros" "arezzo&&albatros" 1 0 0 0 0 0 1
"140" 9.087728379 "arezzo" "arezzo" "arezzo" 0 1 0 0 0 0 1
"141" 9.856737986 "arezzo" "sur99820sur186" "arezzo&&sur99820sur186" 1 0 0 0 0 0 1
"142" 9.501734729 "arezzo" "tri10054" "arezzo&&tri10054" 1 0 0 0 0 0 1
"143" 8.89343767 "arezzo" "tri10124" "arezzo&&tri10124" 1 0 0 0 0 0 1
"144" 9.363425817 "arezzo" "tri10181" "arezzo&&tri10181" 1 0 0 0 0 0 1
"145" 8.827212006 "arezzo" "tri10699" "arezzo&&tri10699" 1 0 0 0 0 0 1
"146" 8.650712609 "arezzo" "tri11271" "arezzo&&tri11271" 1 0 0 0 0 0 1
"147" 9.110796995 "arezzo" "tri11273" "arezzo&&tri11273" 1 0 0 0 0 0 1
"148" 8.600296332 "arezzo" "tri11940" "arezzo&&tri11940" 1 0 0 0 0 0 1
"149" 8.405909963 "arezzo" "tri12038" "arezzo&&tri12038" 1 0 0 0 0 0 1
"150" 8.879971724 "arezzo" "tri12918" "arezzo&&tri12918" 1 0 0 0 0 0 1
"151" 8.888732801 "arezzo" "tri12931" "arezzo&&tri12931" 1 0 0 0 0 0 1
"152" 8.563852278 "arezzo" "tri12965" "arezzo&&tri12965" 1 0 0 0 0 0 1
"153" 8.404293468 "arezzo" "tri13509" "arezzo&&tri13509" 1 0 0 0 0 0 1
"154" 8.315977464 "arezzo" "tri13519" "arezzo&&tri13519" 1 0 0 0 0 0 1
"155" 8.777262936 "arezzo" "tri13692" "arezzo&&tri13692" 1 0 0 0 0 0 1
"156" 8.248061565 "arezzo" "tri14852" "arezzo&&tri14852" 1 0 0 0 0 0 1
"157" 8.855629792 "arezzo" "tri16013" "arezzo&&tri16013" 1 0 0 0 0 0 1
"158" 8.77858265 "arezzo" "tri16576" "arezzo&&tri16576" 1 0 0 0 0 0 1
"159" 8.373222385 "arezzo" "tri17266" "arezzo&&tri17266" 1 0 0 0 0 0 1
"160" 8.611127899 "arezzo" "tri19521" "arezzo&&tri19521" 1 0 0 0 0 0 1
"161" 9.061165015 "arezzo" "tri19594" "arezzo&&tri19594" 1 0 0 0 0 0 1
"162" 8.470728312 "arezzo" "tri19860" "arezzo&&tri19860" 1 0 0 0 0 0 1
"163" 9.309194314 "arezzo" "tri19933" "arezzo&&tri19933" 1 0 0 0 0 0 1
"164" 9.214561668 "arezzo" "tri22371" "arezzo&&tri22371" 1 0 0 0 0 0 1
"165" 8.456812234 "arezzo" "tri22527" "arezzo&&tri22527" 1 0 0 0 0 0 1
"166" 8.969627999 "arezzo" "tri23018" "arezzo&&tri23018" 1 0 0 0 0 0 1
"167" 9.332309592 "arezzo" "tri23234" "arezzo&&tri23234" 1 0 0 0 0 0 1
"168" 7.944630775 "arezzo" "tri23308" "arezzo&&tri23308" 1 0 0 0 0 0 1
"169" 8.291973977 "arezzo" "tri23428" "arezzo&&tri23428" 1 0 0 0 0 0 1
"170" 8.420333471 "arezzo" "tri23712" "arezzo&&tri23712" 1 0 0 0 0 0 1
"171" 9.289057838 "arezzo" "tri23890" "arezzo&&tri23890" 1 0 0 0 0 0 1
"172" 8.508783434 "arezzo" "tri23924" "arezzo&&tri23924" 1 0 0 0 0 0 1
"173" 8.845112243 "arezzo" "tri29467" "arezzo&&tri29467" 1 0 0 0 0 0 1
"174" 8.476988561 "arezzo" "tri3393" "arezzo&&tri3393" 1 0 0 0 0 0 1
"175" 9.084313706 "arezzo" "tri4851" "arezzo&&tri4851" 1 0 0 0 0 0 1
"176" 8.47014131 "arezzo" "tri6926" "arezzo&&tri6926" 1 0 0 0 0 0 1
"177" 8.275645415 "arezzo" "tri7018" "arezzo&&tri7018" 1 0 0 0 0 0 1
"178" 8.296490056 "arezzo" "tri7861" "arezzo&&tri7861" 1 0 0 0 0 0 1
"179" 8.748449069 "arezzo" "tri7874" "arezzo&&tri7874" 1 0 0 0 0 0 1
"180" 8.510611786 "arezzo" "tri9361" "arezzo&&tri9361" 1 0 0 0 0 0 1
