"Blues" "Female" "Male" "Geno" "Hybrid" "Lines" "Exp.I" "Exp.II" "Exp.III" "Exp.IV" "Exp.V"
"9383" 9.652521807 "zf163" "zf040" "zf163&&zf040" 1 0 0 1 0 0 0
"9384" 9.414631847 "zf163" "zf163" "zf163" 0 1 0 1 0 0 0
"9385" 10.00207493 "zf163" "zm008" "zf163&&zm008" 1 0 0 1 0 0 0
"9386" 9.778963797 "zf164" "zf164" "zf164" 0 1 0 1 0 0 0
"9387" 10.44494051 "zf164" "zm006" "zf164&&zm006" 1 0 0 1 0 0 0
"9388" 10.67338318 "zf164" "zm009" "zf164&&zm009" 1 0 0 1 0 0 0
"9389" 9.457657395 "zf165" "zf165" "zf165" 0 1 0 1 0 0 0
"9390" 10.06223966 "zf165" "zm001" "zf165&&zm001" 1 0 0 1 0 0 0
"9391" 10.44456257 "zf165" "zm005" "zf165&&zm005" 1 0 0 1 0 0 0
"9392" 9.92952407 "zf166" "zf040" "zf166&&zf040" 1 0 0 1 0 0 0
"9393" 9.137886641 "zf166" "zf166" "zf166" 0 1 0 1 0 0 0
"9394" 9.558915346 "zf166" "zm001" "zf166&&zm001" 1 0 0 1 0 0 0
"9395" 10.05416385 "zf166" "zm005" "zf166&&zm005" 1 0 0 1 0 0 0
"9396" 10.446296 "zf166" "zm008" "zf166&&zm008" 1 0 0 1 0 0 0
"9397" 9.97959855 "zf166" "zm010" "zf166&&zm010" 1 0 0 1 0 0 0
"9398" 10.4074828 "zf166" "zm012" "zf166&&zm012" 1 0 0 1 0 0 0
"9399" 9.7908596 "zf166" "zm014" "zf166&&zm014" 1 0 0 1 0 0 0
"9400" 9.591481564 "zf166" "zm016" "zf166&&zm016" 1 0 0 1 0 0 0
"9401" 10.30930521 "zf166" "zm019" "zf166&&zm019" 1 0 0 1 0 0 0
"9402" 10.32076271 "zf166" "zm020" "zf166&&zm020" 1 0 0 1 0 0 0
"9403" 10.19778619 "zf166" "zm022" "zf166&&zm022" 1 0 0 1 0 0 0
"9404" 10.06561506 "zf166" "zm024" "zf166&&zm024" 1 0 0 1 0 0 0
"9405" 10.1786497 "zf166" "zm028" "zf166&&zm028" 1 0 0 1 0 0 0
"9406" 10.28638353 "zf166" "zm030" "zf166&&zm030" 1 0 0 1 0 0 0
"9407" 10.17489705 "zf166" "zm036" "zf166&&zm036" 1 0 0 1 0 0 0
"9408" 10.43347916 "zf166" "zm039" "zf166&&zm039" 1 0 0 1 0 0 0
"9409" 10.29847056 "zf166" "zm041" "zf166&&zm041" 1 0 0 1 0 0 0
"9410" 9.479292937 "zf168" "zf168" "zf168" 0 1 0 1 0 0 0
"9411" 9.896302061 "zf168" "zm003" "zf168&&zm003" 1 0 0 1 0 0 0
"9412" 10.21235238 "zf168" "zm009" "zf168&&zm009" 1 0 0 1 0 0 0
"9413" 9.599217496 "zf168" "zm013" "zf168&&zm013" 1 0 0 1 0 0 0
"9414" 10.11212614 "zf168" "zm015" "zf168&&zm015" 1 0 0 1 0 0 0
"9415" 10.34975745 "zf168" "zm017" "zf168&&zm017" 1 0 0 1 0 0 0
"9416" 10.11124048 "zf168" "zm018" "zf168&&zm018" 1 0 0 1 0 0 0
"9417" 9.807496473 "zf168" "zm021" "zf168&&zm021" 1 0 0 1 0 0 0
"9418" 9.78685967 "zf168" "zm023" "zf168&&zm023" 1 0 0 1 0 0 0
"9419" 10.11300684 "zf168" "zm025" "zf168&&zm025" 1 0 0 1 0 0 0
"9420" 10.35140086 "zf168" "zm027" "zf168&&zm027" 1 0 0 1 0 0 0
"9421" 10.17191453 "zf168" "zm029" "zf168&&zm029" 1 0 0 1 0 0 0
"9422" 10.08649674 "zf168" "zm031" "zf168&&zm031" 1 0 0 1 0 0 0
"9423" 9.882144369 "zf168" "zm032" "zf168&&zm032" 1 0 0 1 0 0 0
"9424" 10.23603574 "zf168" "zm034" "zf168&&zm034" 1 0 0 1 0 0 0
"9425" 10.08193845 "zf168" "zm035" "zf168&&zm035" 1 0 0 1 0 0 0
"9426" 10.01803547 "zf168" "zm036" "zf168&&zm036" 1 0 0 1 0 0 0
"9427" 10.34668972 "zf168" "zm040" "zf168&&zm040" 1 0 0 1 0 0 0
"9428" 10.17567042 "zf169" "zf040" "zf169&&zf040" 1 0 0 1 0 0 0
"9429" 9.860289763 "zf169" "zf169" "zf169" 0 1 0 1 0 0 0
"9430" 9.970262801 "zf169" "zm010" "zf169&&zm010" 1 0 0 1 0 0 0
"9431" 10.58867132 "zf169" "zm011" "zf169&&zm011" 1 0 0 1 0 0 0
"9432" 10.20353906 "zf169" "zm012" "zf169&&zm012" 1 0 0 1 0 0 0
"9433" 9.772525798 "zf169" "zm014" "zf169&&zm014" 1 0 0 1 0 0 0
"9434" 10.27550095 "zf169" "zm016" "zf169&&zm016" 1 0 0 1 0 0 0
"9435" 10.25609502 "zf169" "zm019" "zf169&&zm019" 1 0 0 1 0 0 0
"9436" 10.34691213 "zf169" "zm020" "zf169&&zm020" 1 0 0 1 0 0 0
"9437" 10.30246212 "zf169" "zm022" "zf169&&zm022" 1 0 0 1 0 0 0
"9438" 10.4514276 "zf169" "zm024" "zf169&&zm024" 1 0 0 1 0 0 0
"9439" 10.16325915 "zf169" "zm026" "zf169&&zm026" 1 0 0 1 0 0 0
"9440" 10.20348628 "zf169" "zm028" "zf169&&zm028" 1 0 0 1 0 0 0
"9441" 10.27837384 "zf169" "zm030" "zf169&&zm030" 1 0 0 1 0 0 0
"9442" 10.40131697 "zf169" "zm033" "zf169&&zm033" 1 0 0 1 0 0 0
"9443" 10.21574169 "zf169" "zm036" "zf169&&zm036" 1 0 0 1 0 0 0
"9444" 10.02863951 "zf169" "zm039" "zf169&&zm039" 1 0 0 1 0 0 0
"9445" 10.4402814 "zf169" "zm041" "zf169&&zm041" 1 0 0 1 0 0 0
"9446" 9.828746212 "zf170" "zf170" "zf170" 0 1 0 1 0 0 0
"9447" 10.12324048 "zf170" "zm005" "zf170&&zm005" 1 0 0 1 0 0 0
"9448" 10.01590433 "zf170" "zm013" "zf170&&zm013" 1 0 0 1 0 0 0
"9449" 10.16322558 "zf170" "zm015" "zf170&&zm015" 1 0 0 1 0 0 0
"9450" 10.3913545 "zf170" "zm017" "zf170&&zm017" 1 0 0 1 0 0 0
"9451" 10.20347216 "zf170" "zm018" "zf170&&zm018" 1 0 0 1 0 0 0
"9452" 10.21946662 "zf170" "zm021" "zf170&&zm021" 1 0 0 1 0 0 0
"9453" 10.78779861 "zf170" "zm023" "zf170&&zm023" 1 0 0 1 0 0 0
"9454" 10.62690163 "zf170" "zm025" "zf170&&zm025" 1 0 0 1 0 0 0
"9455" 10.445871 "zf170" "zm027" "zf170&&zm027" 1 0 0 1 0 0 0
"9456" 10.27971444 "zf170" "zm029" "zf170&&zm029" 1 0 0 1 0 0 0
"9457" 10.26677516 "zf170" "zm031" "zf170&&zm031" 1 0 0 1 0 0 0
"9458" 10.15391918 "zf170" "zm032" "zf170&&zm032" 1 0 0 1 0 0 0
"9459" 10.49553958 "zf170" "zm034" "zf170&&zm034" 1 0 0 1 0 0 0
"9460" 10.19329267 "zf170" "zm035" "zf170&&zm035" 1 0 0 1 0 0 0
"9461" 9.954723628 "zf170" "zm036" "zf170&&zm036" 1 0 0 1 0 0 0
"9462" 10.54739903 "zf170" "zm040" "zf170&&zm040" 1 0 0 1 0 0 0
"9463" 9.514360736 "zf171" "zf171" "zf171" 0 1 0 1 0 0 0
"9464" 9.745976773 "zf171" "zm001" "zf171&&zm001" 1 0 0 1 0 0 0
"9465" 9.809159256 "zf171" "zm005" "zf171&&zm005" 1 0 0 1 0 0 0
"9466" 9.549150087 "zf172" "zf172" "zf172" 0 1 0 1 0 0 0
"9467" 10.36337971 "zf172" "zm006" "zf172&&zm006" 1 0 0 1 0 0 0
"9468" 10.13318462 "zf172" "zm010" "zf172&&zm010" 1 0 0 1 0 0 0
"9469" 10.42060931 "zf172" "zm011" "zf172&&zm011" 1 0 0 1 0 0 0
"9470" 10.02151783 "zf172" "zm012" "zf172&&zm012" 1 0 0 1 0 0 0
"9471" 10.28785647 "zf172" "zm014" "zf172&&zm014" 1 0 0 1 0 0 0
"9472" 10.10203826 "zf172" "zm016" "zf172&&zm016" 1 0 0 1 0 0 0
"9473" 10.47053544 "zf172" "zm019" "zf172&&zm019" 1 0 0 1 0 0 0
"9474" 10.49134166 "zf172" "zm020" "zf172&&zm020" 1 0 0 1 0 0 0
"9475" 10.80529115 "zf172" "zm022" "zf172&&zm022" 1 0 0 1 0 0 0
"9476" 10.32806981 "zf172" "zm028" "zf172&&zm028" 1 0 0 1 0 0 0
"9477" 10.71017912 "zf172" "zm030" "zf172&&zm030" 1 0 0 1 0 0 0
"9478" 10.17924184 "zf172" "zm036" "zf172&&zm036" 1 0 0 1 0 0 0
"9479" 10.42933827 "zf172" "zm039" "zf172&&zm039" 1 0 0 1 0 0 0
"9480" 10.34148084 "zf172" "zm041" "zf172&&zm041" 1 0 0 1 0 0 0
"9481" 10.13115149 "zf173" "zf040" "zf173&&zf040" 1 0 0 1 0 0 0
"9482" 9.340123622 "zf173" "zf173" "zf173" 0 1 0 1 0 0 0
"9483" 9.951381635 "zf173" "zm001" "zf173&&zm001" 1 0 0 1 0 0 0
"9484" 9.986404478 "zf173" "zm005" "zf173&&zm005" 1 0 0 1 0 0 0
"9485" 10.14971735 "zf173" "zm013" "zf173&&zm013" 1 0 0 1 0 0 0
"9486" 10.11462899 "zf173" "zm015" "zf173&&zm015" 1 0 0 1 0 0 0
"9487" 10.15317803 "zf173" "zm018" "zf173&&zm018" 1 0 0 1 0 0 0
"9488" 10.09330596 "zf173" "zm021" "zf173&&zm021" 1 0 0 1 0 0 0
"9489" 10.14537464 "zf173" "zm023" "zf173&&zm023" 1 0 0 1 0 0 0
"9490" 10.18158302 "zf173" "zm025" "zf173&&zm025" 1 0 0 1 0 0 0
"9491" 10.26313058 "zf173" "zm027" "zf173&&zm027" 1 0 0 1 0 0 0
"9492" 10.12742257 "zf173" "zm029" "zf173&&zm029" 1 0 0 1 0 0 0
"9493" 10.10131792 "zf173" "zm031" "zf173&&zm031" 1 0 0 1 0 0 0
"9494" 9.544705732 "zf173" "zm032" "zf173&&zm032" 1 0 0 1 0 0 0
"9495" 10.46541741 "zf173" "zm034" "zf173&&zm034" 1 0 0 1 0 0 0
"9496" 9.871821707 "zf173" "zm035" "zf173&&zm035" 1 0 0 1 0 0 0
"9497" 9.799399653 "zf173" "zm036" "zf173&&zm036" 1 0 0 1 0 0 0
"9498" 10.30506645 "zf173" "zm040" "zf173&&zm040" 1 0 0 1 0 0 0
"9499" 9.208021903 "zf174" "zf174" "zf174" 0 1 0 1 0 0 0
"9500" 9.598820027 "zf174" "zm006" "zf174&&zm006" 1 0 0 1 0 0 0
"9501" 9.64606443 "zf174" "zm009" "zf174&&zm009" 1 0 0 1 0 0 0
"9502" 9.13568916 "zf175" "zf175" "zf175" 0 1 0 1 0 0 0
"9503" 10.13069165 "zf175" "zm003" "zf175&&zm003" 1 0 0 1 0 0 0
"9504" 9.687328213 "zf175" "zm007" "zf175&&zm007" 1 0 0 1 0 0 0
"9505" 10.06755194 "zf175" "zm009" "zf175&&zm009" 1 0 0 1 0 0 0
"9506" 9.506037606 "zf176" "zf176" "zf176" 0 1 0 1 0 0 0
"9507" 9.607311389 "zf176" "zm003" "zf176&&zm003" 1 0 0 1 0 0 0
"9508" 9.675682496 "zf176" "zm007" "zf176&&zm007" 1 0 0 1 0 0 0
"9509" 9.937413174 "zf176" "zm009" "zf176&&zm009" 1 0 0 1 0 0 0
"9510" 9.554275386 "zf177" "zf177" "zf177" 0 1 0 1 0 0 0
"9511" 10.23461127 "zf177" "zm001" "zf177&&zm001" 1 0 0 1 0 0 0
"9512" 10.64492875 "zf177" "zm005" "zf177&&zm005" 1 0 0 1 0 0 0
"9513" 10.1141583 "zf178" "zf040" "zf178&&zf040" 1 0 0 1 0 0 0
"9514" 9.024109125 "zf178" "zf178" "zf178" 0 1 0 1 0 0 0
"9515" 10.35242973 "zf178" "zm008" "zf178&&zm008" 1 0 0 1 0 0 0
"9516" 9.154681739 "zf179" "zf179" "zf179" 0 1 0 1 0 0 0
"9517" 9.848398745 "zf179" "zm003" "zf179&&zm003" 1 0 0 1 0 0 0
"9518" 9.777438635 "zf179" "zm010" "zf179&&zm010" 1 0 0 1 0 0 0
"9519" 10.25177351 "zf179" "zm011" "zf179&&zm011" 1 0 0 1 0 0 0
"9520" 10.05546664 "zf179" "zm012" "zf179&&zm012" 1 0 0 1 0 0 0
"9521" 10.15430097 "zf179" "zm014" "zf179&&zm014" 1 0 0 1 0 0 0
"9522" 9.516586511 "zf179" "zm016" "zf179&&zm016" 1 0 0 1 0 0 0
"9523" 9.899449056 "zf179" "zm019" "zf179&&zm019" 1 0 0 1 0 0 0
"9524" 9.867069945 "zf179" "zm020" "zf179&&zm020" 1 0 0 1 0 0 0
"9525" 9.870612963 "zf179" "zm022" "zf179&&zm022" 1 0 0 1 0 0 0
"9526" 9.557762568 "zf179" "zm026" "zf179&&zm026" 1 0 0 1 0 0 0
"9527" 10.40362752 "zf179" "zm028" "zf179&&zm028" 1 0 0 1 0 0 0
"9528" 10.21460554 "zf179" "zm030" "zf179&&zm030" 1 0 0 1 0 0 0
"9529" 10.2080074 "zf179" "zm036" "zf179&&zm036" 1 0 0 1 0 0 0
"9530" 10.38124397 "zf179" "zm039" "zf179&&zm039" 1 0 0 1 0 0 0
"9531" 10.28029804 "zf179" "zm041" "zf179&&zm041" 1 0 0 1 0 0 0
"9532" 10.33430325 "zf180" "zf040" "zf180&&zf040" 1 0 0 1 0 0 0
"9533" 9.409323304 "zf180" "zf180" "zf180" 0 1 0 1 0 0 0
"9534" 10.36154725 "zf180" "zm006" "zf180&&zm006" 1 0 0 1 0 0 0
"9535" 10.34942061 "zf180" "zm009" "zf180&&zm009" 1 0 0 1 0 0 0
"9536" 10.11432817 "zf180" "zm013" "zf180&&zm013" 1 0 0 1 0 0 0
"9537" 10.29677024 "zf180" "zm015" "zf180&&zm015" 1 0 0 1 0 0 0
"9538" 10.38837186 "zf180" "zm017" "zf180&&zm017" 1 0 0 1 0 0 0
"9539" 10.03861052 "zf180" "zm018" "zf180&&zm018" 1 0 0 1 0 0 0
"9540" 10.33891039 "zf180" "zm025" "zf180&&zm025" 1 0 0 1 0 0 0
"9541" 9.676491301 "zf180" "zm029" "zf180&&zm029" 1 0 0 1 0 0 0
"9542" 10.10581425 "zf180" "zm031" "zf180&&zm031" 1 0 0 1 0 0 0
"9543" 9.474770528 "zf180" "zm032" "zf180&&zm032" 1 0 0 1 0 0 0
"9544" 9.960688722 "zf180" "zm034" "zf180&&zm034" 1 0 0 1 0 0 0
"9545" 10.16509774 "zf180" "zm035" "zf180&&zm035" 1 0 0 1 0 0 0
"9546" 9.97206801 "zf180" "zm036" "zf180&&zm036" 1 0 0 1 0 0 0
"9547" 10.08750419 "zf180" "zm040" "zf180&&zm040" 1 0 0 1 0 0 0
"9548" 9.372849888 "zf181" "zf181" "zf181" 0 1 0 1 0 0 0
"9549" 10.61406506 "zf181" "zm006" "zf181&&zm006" 1 0 0 1 0 0 0
"9550" 10.03938975 "zf181" "zm009" "zf181&&zm009" 1 0 0 1 0 0 0
"9551" 9.130149756 "zf182" "zf182" "zf182" 0 1 0 1 0 0 0
"9552" 10.06838193 "zf182" "zm001" "zf182&&zm001" 1 0 0 1 0 0 0
"9553" 10.34651663 "zf182" "zm005" "zf182&&zm005" 1 0 0 1 0 0 0
"9554" 10.25723595 "zf183" "zf040" "zf183&&zf040" 1 0 0 1 0 0 0
"9555" 9.331287595 "zf183" "zf183" "zf183" 0 1 0 1 0 0 0
"9556" 10.49174513 "zf183" "zm008" "zf183&&zm008" 1 0 0 1 0 0 0
"9557" 9.418378317 "zf184" "zf184" "zf184" 0 1 0 1 0 0 0
"9558" 10.18166077 "zf184" "zm001" "zf184&&zm001" 1 0 0 1 0 0 0
"9559" 10.21308915 "zf184" "zm005" "zf184&&zm005" 1 0 0 1 0 0 0
"9560" 9.661972533 "zf185" "zf040" "zf185&&zf040" 1 0 0 1 0 0 0
"9561" 8.644114356 "zf185" "zf185" "zf185" 0 1 0 1 0 0 0
"9563" 9.206623043 "zf186" "zf186" "zf186" 0 1 0 1 0 0 0
"9564" 9.899731174 "zf186" "zm003" "zf186&&zm003" 1 0 0 1 0 0 0
"9565" 9.492426252 "zf186" "zm007" "zf186&&zm007" 1 0 0 1 0 0 0
"9566" 10.08149629 "zf186" "zm009" "zf186&&zm009" 1 0 0 1 0 0 0
"9567" 9.228500236 "zf187" "zf040" "zf187&&zf040" 1 0 0 1 0 0 0
"9568" 8.716481134 "zf187" "zf187" "zf187" 0 1 0 1 0 0 0
"9569" 9.674054259 "zf187" "zm008" "zf187&&zm008" 1 0 0 1 0 0 0
"9570" 9.079002677 "zf188" "zf188" "zf188" 0 1 0 1 0 0 0
"9571" 10.29967233 "zf188" "zm006" "zf188&&zm006" 1 0 0 1 0 0 0
"9572" 10.12694529 "zf188" "zm009" "zf188&&zm009" 1 0 0 1 0 0 0
"9573" 9.948981394 "zf189" "zf040" "zf189&&zf040" 1 0 0 1 0 0 0
"9574" 8.947730156 "zf189" "zf189" "zf189" 0 1 0 1 0 0 0
"9575" 10.21086297 "zf189" "zm006" "zf189&&zm006" 1 0 0 1 0 0 0
"9576" 10.1012963 "zf189" "zm009" "zf189&&zm009" 1 0 0 1 0 0 0
"9577" 8.41232332 "zf190" "zf190" "zf190" 0 1 0 1 0 0 0
"9578" 9.413960321 "zf190" "zm001" "zf190&&zm001" 1 0 0 1 0 0 0
"9579" 9.426684917 "zf190" "zm010" "zf190&&zm010" 1 0 0 1 0 0 0
"9580" 10.13408325 "zf190" "zm011" "zf190&&zm011" 1 0 0 1 0 0 0
"9581" 9.735368296 "zf190" "zm012" "zf190&&zm012" 1 0 0 1 0 0 0
"9582" 9.54125721 "zf190" "zm014" "zf190&&zm014" 1 0 0 1 0 0 0
"9583" 9.524047314 "zf190" "zm016" "zf190&&zm016" 1 0 0 1 0 0 0
"9584" 9.950304111 "zf190" "zm019" "zf190&&zm019" 1 0 0 1 0 0 0
"9585" 9.73726033 "zf190" "zm020" "zf190&&zm020" 1 0 0 1 0 0 0
"9586" 10.15219646 "zf190" "zm022" "zf190&&zm022" 1 0 0 1 0 0 0
"9587" 9.273781098 "zf190" "zm024" "zf190&&zm024" 1 0 0 1 0 0 0
"9588" 10.01562199 "zf190" "zm026" "zf190&&zm026" 1 0 0 1 0 0 0
"9589" 10.68708776 "zf190" "zm028" "zf190&&zm028" 1 0 0 1 0 0 0
"9590" 9.666698315 "zf190" "zm030" "zf190&&zm030" 1 0 0 1 0 0 0
"9591" 9.773408641 "zf190" "zm033" "zf190&&zm033" 1 0 0 1 0 0 0
"9592" 9.487685101 "zf190" "zm036" "zf190&&zm036" 1 0 0 1 0 0 0
"9593" 9.786297291 "zf190" "zm041" "zf190&&zm041" 1 0 0 1 0 0 0
"9594" 7.445251746 "zf191" "zf191" "zf191" 0 1 0 1 0 0 0
"9595" 7.879253577 "zf191" "zm003" "zf191&&zm003" 1 0 0 1 0 0 0
"9596" 8.719227484 "zf191" "zm007" "zf191&&zm007" 1 0 0 1 0 0 0
"9597" 9.60666186 "zf192" "zf040" "zf192&&zf040" 1 0 0 1 0 0 0
"9598" 7.673533035 "zf192" "zf192" "zf192" 0 1 0 1 0 0 0
"9599" 9.498147527 "zf192" "zm006" "zf192&&zm006" 1 0 0 1 0 0 0
"9600" 9.587318109 "zf193" "zf040" "zf193&&zf040" 1 0 0 1 0 0 0
"9601" 7.44506497 "zf193" "zf193" "zf193" 0 1 0 1 0 0 0
"9602" 9.832760744 "zf193" "zm008" "zf193&&zm008" 1 0 0 1 0 0 0
"9603" 8.903856006 "zf194" "zf194" "zf194" 0 1 0 1 0 0 0
"9604" 10.07009978 "zf194" "zm013" "zf194&&zm013" 1 0 0 1 0 0 0
"9605" 10.22527065 "zf194" "zm015" "zf194&&zm015" 1 0 0 1 0 0 0
"9606" 10.29312643 "zf194" "zm017" "zf194&&zm017" 1 0 0 1 0 0 0
"9607" 10.25592629 "zf194" "zm018" "zf194&&zm018" 1 0 0 1 0 0 0
"9608" 10.18150792 "zf194" "zm021" "zf194&&zm021" 1 0 0 1 0 0 0
"9609" 10.30389293 "zf194" "zm023" "zf194&&zm023" 1 0 0 1 0 0 0
"9610" 10.33686623 "zf194" "zm025" "zf194&&zm025" 1 0 0 1 0 0 0
"9611" 10.17808071 "zf194" "zm027" "zf194&&zm027" 1 0 0 1 0 0 0
"9612" 9.728733849 "zf194" "zm031" "zf194&&zm031" 1 0 0 1 0 0 0
"9613" 9.787867346 "zf194" "zm032" "zf194&&zm032" 1 0 0 1 0 0 0
"9614" 10.21826912 "zf194" "zm034" "zf194&&zm034" 1 0 0 1 0 0 0
"9615" 10.0515274 "zf194" "zm035" "zf194&&zm035" 1 0 0 1 0 0 0
"9616" 9.899510204 "zf194" "zm036" "zf194&&zm036" 1 0 0 1 0 0 0
"9617" 10.44312642 "zf194" "zm040" "zf194&&zm040" 1 0 0 1 0 0 0
"9618" 9.760621907 "zf195" "zf040" "zf195&&zf040" 1 0 0 1 0 0 0
"9619" 9.16664227 "zf195" "zf195" "zf195" 0 1 0 1 0 0 0
"9621" 10.52480249 "zf195" "zm011" "zf195&&zm011" 1 0 0 1 0 0 0
"9622" 9.988797585 "zf195" "zm012" "zf195&&zm012" 1 0 0 1 0 0 0
"9623" 10.04381115 "zf195" "zm014" "zf195&&zm014" 1 0 0 1 0 0 0
"9624" 10.21126643 "zf195" "zm016" "zf195&&zm016" 1 0 0 1 0 0 0
"9625" 10.26183449 "zf195" "zm019" "zf195&&zm019" 1 0 0 1 0 0 0
"9626" 10.03560036 "zf195" "zm020" "zf195&&zm020" 1 0 0 1 0 0 0
"9627" 10.65677915 "zf195" "zm022" "zf195&&zm022" 1 0 0 1 0 0 0
"9628" 9.948515362 "zf195" "zm024" "zf195&&zm024" 1 0 0 1 0 0 0
"9629" 10.36687286 "zf195" "zm026" "zf195&&zm026" 1 0 0 1 0 0 0
"9630" 10.56913334 "zf195" "zm028" "zf195&&zm028" 1 0 0 1 0 0 0
"9631" 10.16333251 "zf195" "zm030" "zf195&&zm030" 1 0 0 1 0 0 0
"9632" 10.51860278 "zf195" "zm033" "zf195&&zm033" 1 0 0 1 0 0 0
"9633" 10.37836614 "zf195" "zm041" "zf195&&zm041" 1 0 0 1 0 0 0
"9634" 9.413623064 "zf196" "zf196" "zf196" 0 1 0 1 0 0 0
"9635" 9.684515972 "zf196" "zm001" "zf196&&zm001" 1 0 0 1 0 0 0
"9636" 10.24446904 "zf196" "zm005" "zf196&&zm005" 1 0 0 1 0 0 0
"9637" 9.70806416 "zf197" "zf040" "zf197&&zf040" 1 0 0 1 0 0 0
"9638" 9.106015204 "zf197" "zf197" "zf197" 0 1 0 1 0 0 0
"9640" 10.39917405 "zf198" "zf040" "zf198&&zf040" 1 0 0 1 0 0 0
"9641" 9.978982637 "zf198" "zf198" "zf198" 0 1 0 1 0 0 0
"9642" 10.24318847 "zf198" "zm008" "zf198&&zm008" 1 0 0 1 0 0 0
"9646" 10.36725295 "zf201" "bonanza" "zf201&&bonanza" 1 0 0 0 0 1 0
"9647" 9.367024195 "zf201" "zf201" "zf201" 0 1 0 0 0 1 1
"9648" 9.692507116 "zf201" "zm022" "zf201&&zm022" 1 0 0 0 0 1 0
"9649" 9.823468044 "zf201" "zm034" "zf201&&zm034" 1 0 0 0 0 1 0
"9651" 9.601202453 "zf201" "zm102" "zf201&&zm102" 1 0 0 0 0 1 0
"9653" 9.495186406 "zf201" "zm104" "zf201&&zm104" 1 0 0 0 0 1 0
"9654" 9.338012702 "zf201" "zm105" "zf201&&zm105" 1 0 0 0 0 1 0
"9655" 9.536743124 "zf201" "zm106" "zf201&&zm106" 1 0 0 0 0 1 0
"9656" 9.589218469 "zf201" "zm109" "zf201&&zm109" 1 0 0 0 0 1 0
"9657" 9.494157226 "zf201" "zm110" "zf201&&zm110" 1 0 0 0 0 1 0
"9658" 9.384771053 "zf201" "zm112" "zf201&&zm112" 1 0 0 0 0 1 0
"9659" 9.334519355 "zf201" "zm113" "zf201&&zm113" 1 0 0 0 0 1 0
"9660" 9.356598547 "zf201" "zm114" "zf201&&zm114" 1 0 0 0 0 1 0
"9661" 9.756610102 "zf201" "zm115" "zf201&&zm115" 1 0 0 0 0 1 0
"9662" 9.668380374 "zf201" "zm116" "zf201&&zm116" 1 0 0 0 0 1 0
"9663" 9.492348094 "zf201" "zm117" "zf201&&zm117" 1 0 0 0 0 1 0
"9664" 9.565626109 "zf201" "zm119" "zf201&&zm119" 1 0 0 0 0 1 0
"9665" 9.263600265 "zf201" "zm120" "zf201&&zm120" 1 0 0 0 0 1 0
"9666" 10.0365679 "zf201" "zm121" "zf201&&zm121" 1 0 0 0 0 1 0
"9667" 9.681571059 "zf201" "zm122" "zf201&&zm122" 1 0 0 0 0 1 0
"9668" 9.389436444 "zf201" "zm123" "zf201&&zm123" 1 0 0 0 0 1 0
"9669" 10.00740083 "zf201" "zm124" "zf201&&zm124" 1 0 0 0 0 1 0
"9670" 9.61651396 "zf201" "zm125" "zf201&&zm125" 1 0 0 0 0 1 0
"9671" 9.44275345 "zf201" "zm126" "zf201&&zm126" 1 0 0 0 0 1 0
"9672" 9.878152595 "zf201" "zm127" "zf201&&zm127" 1 0 0 0 0 1 0
"9673" 9.455691668 "zf201" "zm128" "zf201&&zm128" 1 0 0 0 0 1 0
"9674" 9.325191314 "zf201" "zm129" "zf201&&zm129" 1 0 0 0 0 1 0
"9675" 9.770004498 "zf201" "zm130" "zf201&&zm130" 1 0 0 0 0 1 0
"9676" 9.613912036 "zf201" "zm131" "zf201&&zm131" 1 0 0 0 0 1 0
"9677" 9.625717926 "zf201" "zm132" "zf201&&zm132" 1 0 0 0 0 1 0
"9678" 9.672330018 "zf201" "zm134" "zf201&&zm134" 1 0 0 0 0 1 0
"9679" 9.656584805 "zf201" "zm135" "zf201&&zm135" 1 0 0 0 0 1 0
"9680" 9.58523353 "zf201" "zm136" "zf201&&zm136" 1 0 0 0 0 1 0
"9681" 9.736185802 "zf201" "zm137" "zf201&&zm137" 1 0 0 0 0 1 0
"9682" 9.475654258 "zf201" "zm138" "zf201&&zm138" 1 0 0 0 0 1 0
"9683" 9.617821864 "zf201" "zm139" "zf201&&zm139" 1 0 0 0 0 1 0
"9684" 9.511156511 "zf201" "zm140" "zf201&&zm140" 1 0 0 0 0 1 0
"9685" 9.625799484 "zf201" "zm141" "zf201&&zm141" 1 0 0 0 0 1 0
"9686" 9.375886424 "zf201" "zm142" "zf201&&zm142" 1 0 0 0 0 1 0
"9687" 9.486772308 "zf201" "zm143" "zf201&&zm143" 1 0 0 0 0 1 0
"9688" 9.663300663 "zf201" "zm144" "zf201&&zm144" 1 0 0 0 0 1 0
"9689" 9.636083374 "zf201" "zm145" "zf201&&zm145" 1 0 0 0 0 1 0
"9690" 9.52808416 "zf201" "zm146" "zf201&&zm146" 1 0 0 0 0 1 0
"9691" 9.67511482 "zf201" "zm147" "zf201&&zm147" 1 0 0 0 0 1 0
"9692" 9.553506298 "zf201" "zm148" "zf201&&zm148" 1 0 0 0 0 1 0
"9693" 9.519165558 "zf201" "zm149" "zf201&&zm149" 1 0 0 0 0 1 0
"9694" 9.808653903 "zf201" "zm150" "zf201&&zm150" 1 0 0 0 0 1 0
"9695" 9.70262649 "zf201" "zm152" "zf201&&zm152" 1 0 0 0 0 1 0
"9696" 9.620823831 "zf201" "zm153" "zf201&&zm153" 1 0 0 0 0 1 0
